# gunzip -c exp_FG/tri_8_2000/decode/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp_FG/tri_8_2000/graph 
# Started at Mon Jul  8 11:11:47 IST 2024
#
At utterance begin, sil accounts for 98.2% of phone occurrences, with duration (median, mean, 95-percentile) is (31,34.9,73) frames.
At utterance begin, nonsilence accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.9,16) frames.
At utterance begin, j_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (12,14.3,15) frames.
At utterance end, sil accounts for 97.8% of phone occurrences, with duration (median, mean, 95-percentile) is (26,28.9,65) frames.
At utterance end, nonsilence accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (15,17.5,29) frames.
At utterance end, eu_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (12,17.0,21) frames.
At utterance end, m_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,18.0,17) frames.
Overall, nonsilence accounts for 87.0% of phone occurrences, with duration (median, mean, 95-percentile) is (10,12.0,27) frames.
Overall, sil accounts for 13.0% of phone occurrences, with duration (median, mean, 95-percentile) is (23,26.7,63) frames.
Overall, a_I accounts for 10.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.4,19) frames.
Overall, eu_E accounts for 4.2% of phone occurrences, with duration (median, mean, 95-percentile) is (17,18.4,37) frames.
Overall, i_I accounts for 3.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.9,25) frames.
Overall, aa_I accounts for 3.3% of phone occurrences, with duration (median, mean, 95-percentile) is (18,18.1,30) frames.
Overall, d_I accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.0,22) frames.
Overall, m_E accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (13,15.3,36) frames.
Overall, u_I accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.6,20) frames.
Overall, r_I accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.8,20) frames.
Overall, p_B accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.4,20) frames.
Overall, l_I accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.0,15) frames.
Overall, k_I accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.1,18) frames.
Overall, y_I accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.5,23) frames.
Overall, s_B accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (14,13.9,22) frames.
Overall, dx_I accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.4,14) frames.
Overall, n_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.4,31) frames.
Overall, tx_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.8,20) frames.
Overall, g_I accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.3,17) frames.
Overall, rx_I accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.4,19) frames.
Overall, w_I accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.5,29) frames.
Overall, m_B accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.1,22) frames.
Overall, k_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.4,17) frames.
Overall, t_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.0,17) frames.
Overall, w_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.9,17) frames.
Overall, l_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (11,12.9,25) frames.
Overall, nd_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.3,17) frames.
Overall, t_I accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.2,16) frames.
Overall, a_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (13,15.0,33) frames.
Overall, nd_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.5,23) frames.
Overall, ai_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (19,20.2,36) frames.
