# gunzip -c exp_FG/tri_8_2000/decode/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp_FG/tri_8_2000/graph 
# Started at Wed Aug 28 02:27:28 IST 2024
#
At utterance begin, sil accounts for 94.8% of phone occurrences, with duration (median, mean, 95-percentile) is (19,27.9,79) frames.
At utterance begin, nonsilence accounts for 5.2% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.1,25) frames.
At utterance begin, s_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.6,11) frames.
At utterance begin, p_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (5,8.0,11) frames.
At utterance begin, nd_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.0,10) frames.
At utterance end, sil accounts for 92.6% of phone occurrences, with duration (median, mean, 95-percentile) is (28,36.3,96) frames.
At utterance end, nonsilence accounts for 7.4% of phone occurrences, with duration (median, mean, 95-percentile) is (94,89.6,157) frames.
At utterance end, eu_E accounts for 6.4% of phone occurrences, with duration (median, mean, 95-percentile) is (100,100.0,157) frames.
Overall, nonsilence accounts for 86.4% of phone occurrences, with duration (median, mean, 95-percentile) is (9,12.5,31) frames.
Overall, sil accounts for 13.6% of phone occurrences, with duration (median, mean, 95-percentile) is (18,24.9,70) frames.
Overall, a_I accounts for 10.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.7,23) frames.
Overall, eu_E accounts for 3.8% of phone occurrences, with duration (median, mean, 95-percentile) is (18,24.5,71) frames.
Overall, aa_I accounts for 3.6% of phone occurrences, with duration (median, mean, 95-percentile) is (20,20.9,38) frames.
Overall, i_I accounts for 3.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.8,25) frames.
Overall, d_I accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (9,12.5,34) frames.
Overall, u_I accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.0,22) frames.
Overall, m_E accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (13,15.4,36) frames.
Overall, p_B accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.8,16) frames.
Overall, r_I accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.6,22) frames.
Overall, l_I accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.2,19) frames.
Overall, k_I accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.7,19) frames.
Overall, y_I accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.4,25) frames.
